,authorid,WikidataID,librisid,WD_LIBRISXL
989,WestdahlP,Q16616102,,wt7bf3rf451qvzn
994,WestlundB,Q64167160,,hftx3pm11jrvclk
997,WetterhoffK,Q6238678,,ljx140t42gwbrs6
1001,WijkmarkH,Q6241087,,c9prvvbw42dfv0f
1009,WranérS,Q4990735,,khwz1l432ldkznl
1011,WärnlöfAL,Q561698,,rp3693294qbsc4m
1012,WästbergA,Q4990772,,wt799x1f180rm7f
1013,YunkersA,Q4683136,,1zcfjl3k5mlthfj
1015,ZawallES,Q98708986,,gdsw3gj04f992bs
1018,ZetterstedtJW,Q1342359,,53hlpnpp408qrt6
1019,ZetterströmC,Q6252273,,wt7994lf02k3ttg
1020,ZetterströmE,Q24004746,,97mpqztt3sjw3hh
1021,ZetterströmMarianne,Q4990924,,fcrtvdmz15mhn0d
1024,ÅhmanssonG,Q97725287,,53hklddp0835v8t
1027,ÅkerlandE,Q30229691,,86lpscps5qpm1qg
1028,ÅsbackaR,Q10656155,,0xbfnjgj57qmk2n
1031,ÖhmanA,Q6256668,,c9prsgsw1hh228m
1033,ÖstergrenCL,Q6257795,,gdsw11x02g0k8ch
