,0,1
982,M112536320,Q5794559
983,M112650817,Q30074944
984,M112650825,Q30074944
985,M112738682,Q64413025
986,M112738709,Q64413025
987,M112738735,Q64413025
988,M112738745,Q64413025
989,M112738761,Q64413025
990,M112738780,Q64413025
991,M112798643,Q5605461
992,M112798701,Q5605461
993,M112798710,Q5605461
994,M112798718,Q5605461
995,M112798728,Q5605461
996,M112798737,Q5605461
997,M112798753,Q5605461
998,M112824625,Q5964297
999,M112824641,Q5964297
1000,M112339218,Q6214762
1001,M112363383,Q16650201
1002,M112391506,Q5588344
1003,M112391569,Q5588344
1004,M112397756,Q109422976
1005,M112402667,Q4934787
1006,M112407278,Q39861439
1007,M112407294,Q39861439
1008,M112407297,Q39861439
1009,M112417710,Q6078356
1010,M112419728,Q4988588
1011,M112428613,Q109523508
1012,M112428642,Q109523508
1013,M112442788,Q98293486
1014,M112442858,Q98293486
1015,M112451864,Q19976102
1016,M112477938,Q16945055
1017,M112478035,Q16945055
1018,M112478047,Q16945055
1019,M112478208,Q16945055
1020,M112481701,Q265219
1021,M112492433,Q4950704
1022,M112510551,Q5916532
1023,M112510575,Q5916532
1024,M112542157,Q6089512
1025,M112542541,Q1037052
1026,M112542547,Q1037052
1027,M112572383,Q5779454
1028,M112615584,Q5893691
1029,M112615588,Q5893691
1030,M112615597,Q5893691
1031,M112615603,Q5893691
1032,M112615609,Q5893691
1033,M112615618,Q5893691
1034,M112704396,Q6042488
1035,M112704407,Q6042488
1036,M112704419,Q6042488
1037,M112704426,Q6042488
1038,M112704452,Q6042488
1039,M112704462,Q6042488
1040,M112711786,Q6240063
1041,M112712259,Q6219947
1042,M112712271,Q6219947
1043,M112713803,Q6219947
1044,M112713861,Q6219947
1045,M112730762,Q109678751
1046,M112730769,Q109678751
1047,M112730782,Q109678751
1048,M112730789,Q109678751
1049,M112766246,Q109678751
1050,M112339318,Q6257824
1051,M112380696,Q109480897
1052,M112407374,Q19977169
1053,M112407514,Q19977169
1054,M112407518,Q19977169
1055,M112407523,Q19977169
1056,M112412708,Q5575914
1057,M112412722,Q5575914
1058,M112412731,Q5575914
1059,M112412770,Q5575914
1060,M112412780,Q5575914
1061,M112412791,Q5575914
1062,M112412808,Q5575914
1063,M112428617,Q109523508
1064,M112428665,Q109523508
1065,M112442331,Q15845361
1066,M112442488,Q15845361
1067,M112442502,Q15845361
1068,M112442521,Q15845361
1069,M112490103,Q1274181
1070,M112490128,Q1274181
1071,M112490132,Q1274181
1072,M112490137,Q1274181
1073,M112490146,Q1274181
